NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-16,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,47,",,W",32,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-17,,,,,0.04,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,38,",,W",26,",,W",,,,,,,,,,,1,",,W",,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-18,,,,,0.09,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,42,",,W",26,",,W",,,,,,,,,,,1,",,W",,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-19,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,36,",,W",23,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-20,,,,,0.57,",,W,2400",1.3,",,W,2400",0.0,",,W,2400",,,33,",,W",26,",,W",,,,,,,,,,,1,",,W",1,",,W",,,,,1,",,W",,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-21,,,,,0.10,",,W,2400",0.0,",,W,2400",1.2,",,W,2400",,,52,",,W",33,",,W",,,,,,,,,,,1,",,W",,,,,,,1,",,W",,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-22,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,44,",,W",36,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-23,,,,,0.01,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,42,",,W",32,",,W",,,,,,,,,,,1,",,W",,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-24,,,,,0.58,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,47,",,W",36,",,W",,,,,,,,,,,1,",,W",,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-25,,,,,0.00,"T,,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,43,",,W",28,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-26,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,36,",,W",25,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-27,,,,,0.00,"T,,W,2400",0.0,"T,,W,2400",0.0,",,W,2400",,,31,",,W",23,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-02-28,,,,,0.03,",,W,2400",0.1,",,W,2400",0.0,"T,,W,2400",,,37,",,W",27,",,W",,,,,,,,,,,1,",,W",,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-01,,,,,0.11,",,W,2400",1.4,",,W,2400",1.2,",,W,2400",,,35,",,W",26,",,W",,,,,,,,,,,1,",,W",1,",,W",,,,,,,1,",,W"
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-02,,,,,0.53,",,W,2400",4.0,",,W,2400",3.9,",,W,2400",,,41,",,W",31,",,W",,,,,,,,,,,1,",,W",,,,,,,,,1,",,W"
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-03,,,,,0.52,",,W,2400",3.0,",,W,2400",1.2,",,W,2400",,,42,",,W",33,",,W",,,,,,,,,,,1,",,W",1,",,W",,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-04,,,,,0.29,",,W,2400",2.0,",,W,2400",3.9,",,W,2400",,,38,",,W",28,",,W",,,,,,,,,,,1,",,W",1,",,W",,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-05,,,,,0.00,",,W,2400",0.0,",,W,2400",2.0,",,W,2400",,,32,",,W",20,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-06,,,,,0.00,"T,,W,2400",0.0,"T,,W,2400",1.2,",,W,2400",,,26,",,W",19,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-07,,,,,0.00,",,W,2400",0.0,",,W,2400",1.2,",,W,2400",,,32,",,W",18,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-08,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,39,",,W",24,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-09,,,,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,49,",,W",34,",,W",,,,,,,,,,,,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-10,,,,,0.54,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,43,",,W",35,",,W",,,,,,,,,,,1,",,W",,,,,,,,,1,",,W"
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-11,9.17,",,W",,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,53,",,W",39,",,W",,,340,",,W",20,",,W",17.0,",,W",25.9,",,W",,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-12,8.95,",,W",,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,44,",,W",34,",,W",,,290,",,W",290,",,W",17.0,",,W",30.0,",,W",,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-13,2.46,",,W",,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,49,",,W",32,",,W",,,130,",,W",140,",,W",8.1,",,W",15.0,",,W",,,,,,,,,,,1,",,W"
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-14,2.91,",,W",,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,57,",,W",42,",,W",,,140,",,W",150,",,W",10.1,",,W",19.0,",,W",,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-15,2.24,",,W",,,0.39,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,75,",,W",49,",,W",,,270,",,W",230,",,W",14.1,",,W",23.0,",,W",1,",,W",,,1,",,W",,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-16,10.07,",,W",,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,58,",,W",37,",,W",,,280,",,W",280,",,W",19.9,",,W",33.1,",,W",,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-17,6.26,",,W",,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,45,",,W",34,",,W",,,280,",,W",280,",,W",14.1,",,W",21.9,",,W",,,,,,,,,,,,
"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2019-03-18,2.01,",,W",,,0.00,",,W,2400",0.0,",,W,2400",0.0,",,W,2400",,,46,",,W",32,",,W",,,310,",,W",280,",,W",10.1,",,W",19.0,",,W",,,,,,,,,,,,
